timecode_ns,devicetime_ns
59212241612958,9993530571811
59212274884023,9993563842324
59212274973498,9993563931799
59212308210477,9993597168699
59212308301577,9993597259799
59212308301589,9993597259811
59212341539056,9993630497199
59212341629656,9993630587799
59212341629668,9993630587811
59212374866432,9993663824499
59212374957732,9993663915799
59212374957744,9993663915811
59212408193822,9993697151824
59212408285797,9993697243799
59212408285809,9993697243811
59212441511975,9993730469911
59212441613863,9993730571799
59212441613875,9993730571811
59212476539757,9993765497624
59212476637932,9993765595799
59212476637944,9993765595811
59212508275481,9993797233286
59212508365994,9993797323799
59212508366006,9993797323811
59212541608710,9993830566449
59212541694060,9993830651799
59212541694072,9993830651811
59212574922200,9993863879874
59212575022125,9993863979799
59212575022137,9993863979811
59212608263154,9993897220699
59212608350255,9993897307799
59212608350267,9993897307811
59212641586813,9993930544074
59212641678538,9993930635799
59212641678550,9993930635811
59212674927834,9993963884949
59212675006685,9993963963799
59212675006697,9993963963811
59212708237785,9993997194824
59212708334761,9993997291799
59212708334773,9993997291811
59212741565161,9994030522124
59212741662836,9994030619799
59212741662848,9994030619811
59212774892562,9994063849449
59212774990912,9994063947799
59212774990924,9994063947811
59212808219975,9994097176786
59212808318988,9994097275799
59212808319000,9994097275811
59212841547379,9994130504124
59212841647054,9994130603799
59212841647066,9994130603811
59212874878489,9994163835161
59212874975127,9994163931799
59212874975139,9994163931811
59212908206847,9994197163324
59212908303323,9994197259799
59212908303335,9994197259811
59212941537593,9994230493874
59212941631519,9994230587799
59212941631531,9994230587811
59212974866828,9994263822999
59212974959627,9994263915799
59212974959639,9994263915811
59213008187714,9994297143949
59213008287564,9994297243799
59213008287576,9994297243811
59213041529766,9994330485824
59213041615741,9994330571799
59213041615753,9994330571811
59213074879447,9994363835411
59213074975836,9994363931799
59213074975848,9994363931811
59213108210489,9994397166324
59213108303964,9994397259799
59213108303976,9994397259811
59213141563704,9994430519411
59213141632092,9994430587799
59213141632104,9994430587811
59213174871045,9994463826624
59213174960221,9994463915799
59213174960233,9994463915811
59213208288349,9994497243799
59213208288361,9994497243811
59213208347549,9994497302999
59213241525707,9994530481074
59213241616432,9994530571799
59213241616444,9994530571811
59213274878551,9994563833911
59213274976440,9994563931799
59213274976452,9994563931811
59213308206935,9994597162074
59213308304661,9994597259799
59213308304673,9994597259811
59213341538106,9994630493036
59213341632869,9994630587799
59213341632881,9994630587811
59213374866053,9994663820999
59213374960853,9994663915799
59213408194102,9994697148949
59213408288953,9994697243799
59213408288965,9994697243811
59213441523327,9994730478074
59213441617052,9994730571799
59213441617064,9994730571811
59213476549231,9994765503874
59213476641157,9994765595799
59213476641169,9994765595811
59213508276526,9994797231074
59213508369251,9994797323799
59213541602000,9994830556449
59213541697351,9994830651799
59213541697363,9994830651811
59213574937100,9994863891449
59213575025450,9994863979799
59213575025462,9994863979811
59213608260038,9994897214286
59213608353552,9994897307799
59213608353564,9994897307811
59213641590487,9994930544624
59213641681663,9994930635799
59213641681675,9994930635811
59213674935358,9994963889374
59213675009784,9994963963799
59213675009796,9994963963811
59213708208554,9994997162449
59213708337904,9994997291799
59213708337916,9994997291811
59213741573225,9995030526999
59213741666025,9995030619799
59213741666037,9995030619811
59213774900671,9995063854324
59213774994146,9995063947799
59213774994158,9995063947811
59213808231842,9995097185374
59213808322267,9995097275799
59213808322279,9995097275811
59213841559287,9995130512699
59213841650388,9995130603799
59213841650400,9995130603811
59213874881405,9995163834699
59213874978506,9995163931799
59213874978518,9995163931811
59213908216088,9995197169286
59213908306601,9995197259799
59213908306613,9995197259811
59213941537180,9995230490324
59213941634655,9995230587799
59213941634667,9995230587811
59213974866696,9995263819786
59213974962709,9995263915799
59213974962721,9995263915811
59214008198832,9995297151824
59214008290807,9995297243799
59214008290819,9995297243811
59214041522369,9995330475199
59214041618969,9995330571799
59214041618981,9995330571811
59214074846976,9995363799786
59214074946990,9995363899799
59214074947002,9995363899811
59214108212685,9995397165286
59214108307198,9995397259799
59214108307210,9995397259811
59214141544994,9995430497499
59214141635294,9995430587799
59214141635306,9995430587811
59214174869215,9995463821624
59214174963390,9995463915799
59214174963402,9995463915811
59214208198995,9995497151286
59214208291508,9995497243799
59214208291520,9995497243811
59214241526275,9995530478411
59214241619663,9995530571799
59214241619675,9995530571811
59214274852309,9995563804374
59214274947734,9995563899799
59214274947746,9995563899811
59214308229291,9995597181286
59214308323804,9995597275799
59214308323816,9995597275811
59214341556706,9995630508574
59214341651931,9995630603799
59214341651943,9995630603811
59214374884284,9995663835911
59214374980173,9995663931799
59214374980185,9995663931811
59214408211699,9995697163249
59214408308250,9995697259799
59214408308262,9995697259811
59214442373228,9995731324699
59214442468329,9995731419799
59214442468341,9995731419811
59214475700642,9995764652036
59214475796406,9995764747799
59214475796418,9995764747811
59214508279556,9995797230874
59214508372481,9995797323799
59214508372493,9995797323811
59214541609920,9995830561161
59214541700558,9995830651799
59214541700570,9995830651811
59214574933130,9995863884286
59214575028643,9995863979799
59214575028655,9995863979811
59214608264723,9995897215749
59214608356774,9995897307799
59214608356786,9995897307811
59214641586609,9995930537411
59214641684998,9995930635799
59214641685010,9995930635811
59214674929712,9995963880286
59214675013224,9995963963799
59214675013236,9995963963811
59214708263726,9995997214286
59214708341240,9995997291799
59214708341252,9995997291811
59214741589249,9996030539699
59214741669349,9996030619799
59214741669361,9996030619811
59214774912037,9996063862374
59214774997462,9996063947799
59214774997474,9996063947811
59214808229650,9996097179874
59214808325576,9996097275799
59214808325588,9996097275811
59214841557089,9996130507199
59214841653689,9996130603799
59214841653701,9996130603811
59214874883914,9996163833911
59214874981802,9996163931799
59214874981814,9996163931811
59214908216542,9996197166449
59214908309892,9996197259799
59214908309904,9996197259811
59214941540377,9996230490199
59214941637978,9996230587799
59214941637990,9996230587811
59214974872225,9996263821874
59214974966149,9996263915799
59214974966161,9996263915811
59215008199410,9996297149124
59215008294086,9996297243799
59215008294098,9996297243811
59215041531500,9996330480999
59215041622300,9996330571799
59215041622312,9996330571811
59215074855308,9996363804699
59215074950408,9996363899799
59215074950420,9996363899811
59215108215161,9996397164499
59215108310461,9996397259799
59215108310473,9996397259811
59215141540238,9996430489624
59215141638413,9996430587799
59215141638425,9996430587811
59215174868825,9996463818199
59215174966427,9996463915799
59215174966439,9996463915811
59215208198348,9996497147249
59215208294898,9996497243799
59215208294910,9996497243811
59215241525147,9996530473949
59215241622997,9996530571799
59215241623009,9996530571811
59215274858197,9996563807124
59215274950869,9996563899799
59215274950881,9996563899811
59215308219191,9996597168699
59215308278292,9996597227799
59215308278304,9996597227811
59215341541459,9996630490749
59215341638510,9996630587799
59215341638522,9996630587811
59215374873427,9996663822499
59215374966728,9996663915799
59215374966740,9996663915811
59215408200770,9996697149624
59215408294946,9996697243799
59215408294958,9996697243811
59215441529275,9996730477911
59215441623164,9996730571799
59215441623176,9996730571811
59215475704462,9996764652874
59215475799387,9996764747799
59215475799399,9996764747811
59215508282125,9996797230324
59215508375600,9996797323799
59215508375612,9996797323811
59215541616930,9996830564911
59215541703818,9996830651799
59215541703830,9996830651811
59215574939561,9996863887324
59215575032036,9996863979799
59215575032048,9996863979811
59215608267061,9996897214661
59215608360199,9996897307800
59215608360211,9996897307812
59215641598193,9996930545699
59215641688295,9996930635799
59215641688307,9996930635811
59215674925811,9996963873036
59215675016574,9996963963799
59215675016586,9996963963811
59215708260496,9996997207824
59215708344470,9996997291799
59215708344482,9996997291811
59215741602589,9997030550036
59215741672353,9997030619799
59215741672365,9997030619811
59215774907770,9997063855036
59215775000534,9997063947799
59215775000546,9997063947811
59215808235289,9997097182374
59215808328715,9997097275799
59215808328727,9997097275811
59215841562345,9997130509249
59215841656896,9997130603799
59215841656908,9997130603811
59215874888476,9997163835199
59215874985077,9997163931799
59215874985089,9997163931811
59215908214576,9997197161161
59215908313214,9997197259799
59215908313226,9997197259811
59215941546606,9997230493161
59215941641244,9997230587799
59215941641256,9997230587811
59215974877737,9997263824199
59215974969337,9997263915799
59215974969349,9997263915811
59216008207505,9997297153874
59216008297431,9997297243799
59216008297443,9997297243811
59216041531011,9997330477286
59216041625524,9997330571799
59216041625536,9997330571811
59216074855854,9997363802036
59216074953617,9997363899799
59216074953629,9997363899811
59216108184479,9997397130536
59216108281742,9997397227799
59216108281754,9997397227811
59216141545391,9997430491374
59216141641815,9997430587799
59216141641827,9997430587811
59216174872346,9997463818699
59216174969445,9997463915799
59216174969457,9997463915811
59216208199312,9997497146036
59216208297074,9997497243799
59216208297086,9997497243811
59216241526522,9997530473374
59216241624949,9997530571799
59216241624961,9997530571811
59216274858176,9997563804411
59216274953565,9997563899799
59216274953577,9997563899811
59216308186130,9997597131749
59216308282182,9997597227799
59216308282194,9997597227811
59216341543747,9997630488874
59216341642672,9997630587799
59216341642684,9997630587811
59216374874890,9997663819911
59216374970778,9997663915799
59216374970790,9997663915811
59216408210210,9997697155124
59216408298885,9997697243799
59216408298897,9997697243811
59216442386644,9997731331449
59216442474994,9997731419799
59216442475006,9997731419811
59216475714087,9997764658786
59216475803100,9997764747799
59216475803112,9997764747811
59216508289316,9997797233911
59216508379204,9997797323799
59216508379216,9997797323811
59216541607710,9997830552199
59216541707311,9997830651799
59216541707323,9997830651811
59216574938803,9997863883249
59216575035352,9997863979799
59216575035364,9997863979811
59216608266117,9997897210574
59216608363343,9997897307799
59216608363355,9997897307811
59216641593824,9997930537911
59216641691713,9997930635799
59216641691725,9997930635811
59216674921340,9997963865249
59216675019890,9997963963799
59216675019902,9997963963811
59216708256133,9997997199999
59216708347933,9997997291799
59216708347945,9997997291811
59216741587278,9998030531074
59216741676003,9998030619799
59216741676015,9998030619811
59216774922192,9998063865824
59216775004167,9998063947799
59216775004179,9998063947811
59216808243135,9998097186661
59216808332273,9998097275799
59216808332285,9998097275811
59216841570579,9998130513999
59216841660379,9998130603799
59216841660391,9998130603811
59216874898010,9998163841324
59216874988485,9998163931799
59216874988497,9998163931811
59216908225453,9998197168661
59216908316591,9998197259799
59216908316603,9998197259811
59216941556563,9998230499699
59216941644663,9998230587799
59216941644675,9998230587811
59216974883683,9998263827036
59216974972443,9998263915799
59216974972455,9998263915811
59217008210525,9998297154374
59217008299951,9998297243799
59217008299963,9998297243811
59217041538258,9998330481699
59217041628359,9998330571799
59217041628371,9998330571811
59217074866004,9998363809036
59217074956768,9998363899799
59217074956780,9998363899811
59217108193620,9998397136324
59217108285095,9998397227799
59217108285107,9998397227811
59217141524818,9998430467411
59217141613206,9998430555799
59217141613218,9998430555811
59217174882087,9998463824499
59217174973388,9998463915799
59217174973400,9998463915811
59217208213300,9998497155574
59217208301525,9998497243799
59217208301537,9998497243811
59217241551937,9998530494074
59217241629662,9998530571799
59217241629674,9998530571811
59217274868217,9998563810199
59217274957817,9998563899799
59217274957829,9998563899811
59217308187845,9998597129661
59217308285983,9998597227799
59217308285995,9998597227811
59217341516369,9998630458161
59217341614007,9998630555799
59217341614019,9998630555811
59217374876058,9998663817824
59217374974034,9998663915799
59217374974046,9998663915811
59217408203516,9998697145161
59217408302154,9998697243799
59217408302166,9998697243811
59217441530975,9998730472499
59217441630275,9998730571799
59217441630287,9998730571811
59217474862133,9998763803536
59217474958396,9998763899799
59217474958408,9998763899811
59217508267792,9998797209074
59217508366517,9998797307799
59217508366529,9998797307811
59217541595250,9998830536411
59217541694638,9998830635799
59217541694650,9998830635811
59217574926409,9998863867449
59217575022759,9998863963799
59217575022771,9998863963811
59217608253848,9998897194786
59217608350861,9998897291799
59217608350873,9998897291811
59217641596906,9998930537749
59217641678957,9998930619799
59217641678969,9998930619811
59217674921865,9998963862499
59217675007165,9998963947799
59217675007177,9998963947811
59217708244413,9998997184949
59217708335264,9998997275799
59217708335276,9998997275811
59217741566512,9999030506949
59217741663362,9999030603799
59217741663374,9999030603811
59217774893947,9999063834286
59217774991460,9999063931799
59217774991472,9999063931811
59217808221383,9999097161624
59217808319559,9999097259799
59217808319571,9999097259811
59217841548799,9999130488911
59217841647688,9999130587799
59217841647700,9999130587811
59217874876325,9999163816249
59217874975875,9999163915799
59217874975887,9999163915811
59217908203737,9999197143574
59217908303963,9999197243799
59217908303975,9999197243811
59217941534875,9999230474624
59217941632050,9999230571799
59217941632062,9999230571811
59217974862298,9999263801949
59217974960149,9999263899799
59217974960161,9999263899811
59218008189754,9999297129286
59218008288267,9999297227799
59218008288279,9999297227811
59218041517144,9999330456624
59218041616319,9999330555799
59218041616331,9999330555811
59218074878026,9999363817449
59218074976377,9999363915799
59218074976389,9999363915811
59218108205561,9999397144786
59218108304574,9999397243799
59218108304586,9999397243811
59218141532944,9999430472124
59218141632619,9999430571799
59218141632631,9999430571811
59218174860352,9999463799449
59218174960702,9999463899799
59218174960714,9999463899811
59218208201110,9999497139999
59218208288911,9999497227799
59218208288923,9999497227811
59218241522371,9999530461036
59218241617135,9999530555799
59218241617147,9999530555811
59218274883531,9999563822074
59218274977256,9999563915799
59218274977268,9999563915811
59218308214716,9999597153324
59218308305190,9999597243799
59218308305202,9999597243811
59218341541979,9999630480661
59218341633119,9999630571799
59218341633131,9999630571811
59218374869986,9999663808199
59218374961587,9999663899799
59218374961599,9999663899811
59218408197409,9999697135536
59218408289672,9999697227799
59218408289684,9999697227811
59218441528532,9999730466574
59218441617757,9999730555799
59218441617769,9999730555811
59218475719870,9999764657824
59218475809845,9999764747799
59218475809857,9999764747811
59218508280165,9999797218036
59218508369928,9999797307799
59218508369940,9999797307811
59218541607588,9999830545374
59218541698013,9999830635799
59218541698025,9999830635811
59218574934998,9999863872699
59218575026099,9999863963799
59218575026111,9999863963811
59218608262033,9999897199624
59218608354208,9999897291799
59218608354220,9999897291811
59218641591949,9999930529286
59218641682463,9999930619799
59218641682475,9999930619811
59218674920774,9999963857786
59218675010786,9999963947799
59218675010798,9999963947811
59218708257378,9999997194449
59218708338728,9999997275799
59218708338740,9999997275811
59218741574831,10000030511786
59218741666844,10000030603799
59218741666856,10000030603811
59218774899697,10000063836536
59218774994960,10000063931799
59218774994972,10000063931811
59218808233226,10000097169949
59218808323076,10000097259799
59218808323088,10000097259811
59218841556716,10000130493324
59218841651192,10000130587799
59218841651204,10000130587811
59218874881618,10000163818124
59218874979293,10000163915799
59218874979305,10000163915811
59218908213681,10000197150124
59218908307356,10000197243799
59218908307368,10000197243811
59218941543418,10000230479786
59218941635431,10000230571799
59218941635443,10000230571811
59218974895531,10000263831824
59218974963506,10000263899799
59218974963518,10000263899811
59219008195307,10000297131499
59219008291608,10000297227799
59219008291620,10000297227811
59219041528851,10000330464874
59219041619776,10000330555799
59219041619788,10000330555811
59219074851174,10000363787074
59219074947900,10000363883799
59219074947912,10000363883811
59219108218223,10000397153999
59219108308023,10000397243799
59219108308035,10000397243811
59219141542921,10000430478574
59219141636146,10000430571799
59219141636158,10000430571811
59219174869169,10000463804699
59219174964270,10000463899799
59219174964282,10000463899811
59219208201508,10000497136949
59219208292358,10000497227799
59219208292370,10000497227811
59219241528859,10000530464286
59219241620372,10000530555799
59219241620384,10000530555811
59219274854877,10000563790199
59219274948477,10000563883799
59219274948489,10000563883811
59219308215854,10000597151074
59219308308579,10000597243799
59219308308591,10000597243811
59219341543272,10000630478374
59219341636697,10000630571799
59219341636709,10000630571811
59219374874465,10000663809449
59219374964815,10000663899799
59219374964827,10000663899811
59219408201883,10000697136749
59219408292933,10000697227799
59219408292945,10000697227811
59219441529326,10000730464074
59219441621051,10000730555799
59219441621063,10000730555811
59219476554825,10000765489449
59219476629175,10000765563799
59219476629187,10000765563811
59219508281063,10000797215574
59219508373288,10000797307799
59219508373300,10000797307811
59219541608518,10000830542911
59219541701406,10000830635799
59219541701418,10000830635811
59219574935924,10000863870199
59219575029524,10000863963799
59219575029536,10000863963811
59219608267101,10000897201286
59219608357615,10000897291799
59219608357627,10000897291811
59219641594456,10000930528574
59219641685682,10000930619799
59219641685694,10000930619811
59219674925776,10000963859661
59219675013915,10000963947799
59219675013927,10000963947811
59219708260701,10000997194411
59219708342090,10000997275799
59219708342102,10000997275811
59219741595594,10001030529199
59219741670194,10001030603799
59219741670206,10001030603811
59219774904402,10001063837911
59219774998290,10001063931799
59219774998302,10001063931811
59219808235536,10001097168949
59219808326386,10001097259799
59219808326398,10001097259811
59219841562969,10001130496286
59219841654482,10001130587799
59219841654494,10001130587811
59219874920814,10001163854036
59219875014578,10001163947799
59219875014590,10001163947811
59219908255638,10001197188786
59219908342652,10001197275799
59219908342664,10001197275811
59219941589296,10001230522411
59219941670685,10001230603799
59219941670697,10001230603811
59219974902243,10001263835249
59219974998793,10001263931799
59219974998805,10001263931811
59220008225976,10001297158874
59220008326901,10001297259799
59220008326913,10001297259811
59220041563409,10001330496199
59220041655010,10001330587799
59220041655022,10001330587811
59220074884980,10001363817661
59220074983118,10001363915799
59220074983130,10001363915811
59220108222466,10001397154999
59220108311267,10001397243799
59220108311279,10001397243811
59220141541126,10001430473699
59220141639223,10001430571799
59220141639235,10001430571811
59220174869549,10001463802624
59220174966727,10001463899799
59220174966739,10001463899811
59220208197694,10001497129949
59220208295545,10001497227799
59220208295557,10001497227811
59220241531732,10001530463749
59220241623782,10001530555799
59220241623794,10001530555811
59220274861208,10001563793124
59220274951883,10001563883799
59220274951895,10001563883811
59220308238433,10001597170249
59220308311983,10001597243799
59220308311995,10001597243811
59220341563946,10001630495661
59220341640084,10001630571799
59220341640096,10001630571811
59220374889459,10001663821074
59220374968184,10001663899799
59220374968196,10001663899811
59220408219860,10001697151374
59220408296285,10001697227799
59220408296297,10001697227811
59220441546535,10001730477949
59220441624385,10001730555799
59220441624397,10001730555811
59220475704763,10001764636074
59220475800488,10001764731799
59220475800500,10001764731811
59220508282736,10001797213949
59220508376586,10001797307799
59220508376598,10001797307811
59220541613174,10001830544286
59220541704687,10001830635799
59220541704699,10001830635811
59220574939437,10001863870449
59220575032787,10001863963799
59220575032799,10001863963811
59220608266898,10001897197786
59220608360911,10001897291799
59220608360923,10001897291811
59220641594459,10001930525124
59220641689135,10001930619799
59220641689147,10001930619811
59220674925727,10001963856161
59220675017365,10001963947799
59220675017377,10001963947811
59220708256789,10001997187199
59220708345390,10001997275799
59220708345402,10001997275811
59220741591701,10002030521999
59220741673501,10002030603799
59220741673513,10002030603811
59220774907986,10002063838161
59220775001625,10002063931799
59220775001637,10002063931811
59220808235398,10002097165449
59220808329748,10002097259799
59220808329760,10002097259811
59220841562858,10002130492786
59220841657872,10002130587799
59220841657884,10002130587811
59220874887107,10002163816911
59220874985995,10002163915799
59220874986007,10002163915811
59220908218258,10002197147949
59220908314108,10002197243799
59220908314120,10002197243811
59220941550594,10002230480199
59220941642194,10002230571799
59220941642206,10002230571811
59220974872687,10002263802199
59220974970287,10002263899799
59220974970299,10002263899811
59221008203830,10002297133249
59221008298381,10002297227799
59221008298393,10002297227811
59221041529874,10002330459199
59221041626474,10002330555799
59221041626486,10002330555811
59221074857092,10002363786324
59221074954567,10002363883799
59221074954579,10002363883811
59221108189383,10002397118536
59221108282646,10002397211799
59221108282658,10002397211811
59221141550047,10002430479161
59221141642685,10002430571799
59221141642697,10002430571811
59221174876083,10002463805124
59221174970759,10002463899799
59221174970771,10002463899811
59221208203329,10002497132249
59221208298879,10002497227799
59221208298891,10002497227811
59221241535450,10002530464249
59221241627000,10002530555799
59221241627012,10002530555811
59221274859191,10002563787824
59221274955167,10002563883799
59221274955179,10002563883811
59221308182888,10002597111249
59221308283439,10002597211799
59221308283451,10002597211811
59221341549949,10002630478161
59221341643588,10002630571799
59221341643600,10002630571811
59221374873650,10002663801749
59221374971700,10002663899799
59221374971712,10002663899811
59221408201063,10002697129074
59221408299788,10002697227799
59221408299800,10002697227811
59221441532200,10002730460124
59221441627875,10002730555799
59221441627887,10002730555811
59221475708615,10002764636449
59221475803965,10002764731799
59221475803977,10002764731811
59221508283875,10002797211624
59221508380051,10002797307800
59221508380063,10002797307812
59221541611250,10002830538911
59221541708138,10002830635799
59221541708150,10002830635811
59221574938693,10002863866249
59221575036243,10002863963799
59221575036255,10002863963811
59221608266173,10002897193574
59221608364399,10002897291799
59221608364411,10002897291811
59221641597356,10002930524624
59221641692532,10002930619799
59221641692544,10002930619811
59221674924700,10002963851949
59221675020549,10002963947799
59221675020561,10002963947811
59221708266875,10002997194161
59221708348515,10002997275799
59221708348527,10002997275811
59221741591300,10003030518199
59221741676901,10003030603799
59221741676913,10003030603811
59221774923765,10003063850624
59221775004940,10003063931799
59221775004952,10003063931811
59221808241613,10003097168374
59221808333039,10003097259800
59221808333051,10003097259812
59221841568287,10003130494949
59221841661137,10003130587799
59221841661149,10003130587811
59221874896135,10003163822699
59221874989235,10003163915799
59221874989247,10003163915811
59221908220733,10003197147199
59221908317334,10003197243799
59221908317346,10003197243811
59221941547640,10003230473949
59221941645491,10003230571799
59221941645503,10003230571811
59221974877273,10003263803324
59221974973748,10003263899799
59221974973760,10003263899811
59222008212677,10003297138699
59222008301777,10003297227799
59222008301789,10003297227811
59222041543256,10003330469249
59222041629806,10003330555799
59222041629818,10003330555811
59222074860930,10003363786874
59222074957856,10003363883799
59222074957868,10003363883811
59222108198465,10003397124286
59222108285979,10003397211799
59222108285991,10003397211811
59222141516044,10003430441699
59222141614144,10003430539799
59222141614156,10003430539811
59222174884835,10003463810324
59222174974310,10003463899799
59222174974322,10003463899811
59222208214462,10003497139786
59222208302476,10003497227799
59222208302488,10003497227811
59222241533003,10003530458161
59222241630641,10003530555799
59222274865736,10003563790749
59222274958786,10003563883799
59222274958798,10003563883811
59222308195588,10003597120536
59222308286851,10003597211799
59222308286863,10003597211811
59222341520028,10003630444949
59222341614878,10003630539799
59222341614890,10003630539811
59222374882245,10003663807074
59222374974971,10003663899799
59222374974983,10003663899811
59222408210991,10003697135699
59222408303091,10003697227799
59222408303103,10003697227811
59222441535787,10003730460374
59222441631212,10003730555799
59222441631224,10003730555811
59222474959333,10003763883799
59222474959345,10003763883811
59222474996445,10003763920911
59222508190154,10003797114499
59222508287454,10003797211799
59222508287466,10003797211811
59222541521899,10003830446124
59222541615575,10003830539799
59222541615587,10003830539811
59222574875909,10003863799999
59222574975709,10003863899799
59222574975721,10003863899811
59222608209084,10003897132999
59222608303884,10003897227799
59222608303896,10003897227811
59222641541046,10003930464786
59222641632059,10003930555799
59222641632071,10003930555811
59222674870877,10003963794449
59222674960227,10003963883799
59222674960239,10003963883811
59222708195596,10003997119036
59222708288359,10003997211799
59222708288371,10003997211811
59222741525146,10004030448499
59222741616447,10004030539799
59222741616459,10004030539811
59222774882109,10004063805374
59222774976534,10004063899799
59222774976546,10004063899811
59222808211863,10004097135036
59222808304626,10004097227799
59222808304638,10004097227811
59222841534209,10004130457286
59222841632722,10004130555799
59222841632734,10004130555811
59222874865293,10004163788324
59222874960768,10004163883799
59222874960780,10004163883811
59222908192691,10004197115661
59222908288829,10004197211799
59222908288841,10004197211811
59222941520197,10004230442999
59222941616997,10004230539799
59222941617009,10004230539811
59222974881052,10004263803824
59222974977027,10004263899799
59222974977039,10004263899811
59223008208288,10004297131161
59223008304924,10004297227799
59223008304936,10004297227811
59223041535188,10004330458499
59223041632489,10004330555799
59223041632501,10004330555811
59223074870313,10004363793249
59223074960864,10004363883799
59223074960876,10004363883811
59223108187813,10004397110374
59223108289239,10004397211799
59223108289251,10004397211811
59223141526579,10004430448874
59223141617504,10004430539799
59223141617516,10004430539811
59223174886304,10004463808536
59223174945568,10004463867800
59223174945580,10004463867812
59223208213749,10004497135874
59223208305672,10004497227799
59223208305684,10004497227811
59223241540460,10004530463199
59223241633062,10004530555799
59223241633074,10004530555811
59223274868264,10004563790536
59223274961528,10004563883799
59223274961540,10004563883811
59223308196019,10004597117824
59223308289995,10004597211799
59223308290007,10004597211811
59223341523709,10004630445161
59223341618347,10004630539799
59223341618359,10004630539811
59223374851082,10004663772499
59223374946382,10004663867799
59223374946394,10004663867811
59223408209271,10004697130574
59223408306497,10004697227799
59223408306509,10004697227811
59223441535348,10004730456536
59223441634611,10004730555799
59223441634623,10004730555811
59223474890000,10004763811074
59223474962726,10004763883800
59223474962737,10004763883811
59223508204665,10004797125624
59223508290840,10004797211799
59223508290852,10004797211811
59223541523279,10004830444124
59223541618954,10004830539799
59223541618966,10004830539811
59223574854445,10004863775161
59223574947083,10004863867799
59223574947095,10004863867811
59223608211525,10004897132074
59223608307251,10004897227799
59223608307263,10004897227811
59223641543891,10004930464286
59223641635405,10004930555799
59223641635417,10004930555811
59223674867670,10004963787911
59223674963559,10004963883799
59223674963571,10004963883811
59223708198851,10004997118949
59223708291701,10004997211799
59223708291713,10004997211811
59223741526308,10005030446286
59223741619822,10005030539799
59223741619834,10005030539811
59223774851827,10005063771699
59223774947927,10005063867799
59223774947939,10005063867811
59223808217987,10005097137874
59223808307912,10005097227799
59223808307924,10005097227811
59223841544662,10005130464449
59223841636012,10005130555799
59223841636024,10005130555811
59223874865474,10005163785161
59223874964112,10005163883799
59223874964124,10005163883811
59223908197304,10005197116874
59223908292230,10005197211799
59223908292242,10005197211811
59223941524450,10005230443874
59223941620375,10005230539799
59223941620387,10005230539811
59223974948474,10005263867799
59223974948486,10005263867811
59223975036800,10005263956124
59224008214987,10005297134161
59224008308625,10005297227799
59224008308637,10005297227811
59224041543412,10005330462536
59224041636675,10005330555799
