stream_id,hand_index,timestamp[ns],x_min[pixel],x_max[pixel],y_min[pixel],y_max[pixel],visibility_ratio[%]
214-1,1,59211841595096,,,,,0.0
214-1,0,59211874930109,,,,,0.0
214-1,1,59211874930109,,,,,0.0
214-1,0,59211908242597,,,,,0.0
214-1,1,59211908242597,,,,,0.0
214-1,0,59211941570011,,,,,0.0
214-1,1,59211941570011,,,,,0.0
214-1,0,59211974897412,,,,,0.0
214-1,1,59211974897412,,,,,0.0
214-1,0,59212008227788,,,,,0.0
214-1,1,59212008227788,,,,,0.0
214-1,0,59212041556554,,,,,0.0
214-1,1,59212041556554,,,,,0.0
214-1,0,59212074880435,,,,,0.0
214-1,1,59212074880435,,,,,0.0
214-1,0,59212108205927,,,,,0.0
214-1,1,59212108205927,,,,,0.0
214-1,0,59212141532556,,,,,0.0
214-1,1,59212141532556,1396.0,1579.0,276.0,465.0,0.0
214-1,0,59212174863001,1369.0,1568.0,813.0,962.0,0.031373121260761715
214-1,1,59212174863001,1355.0,1445.0,326.0,484.0,0.04065269376846251
214-1,0,59212208193641,1307.0,1472.0,795.0,944.0,0.3705685141593552
214-1,1,59212208193641,1306.0,1412.0,343.0,506.0,0.44462435233160624
214-1,0,59212241516144,1247.0,1449.0,775.0,934.0,0.7026510120597143
214-1,1,59212241516144,1255.0,1395.0,354.0,528.0,0.7608927483241925
214-1,0,59212274884023,1189.0,1430.0,754.0,920.0,0.8725199637770643
214-1,1,59212274884023,1201.0,1377.0,362.0,548.0,0.9281953364577908
214-1,0,59212308210477,1134.0,1409.0,732.0,905.0,0.966652971788551
214-1,1,59212308210477,1151.0,1358.0,369.0,565.0,1.0
214-1,0,59212341539056,1087.0,1389.0,712.0,893.0,1.0
214-1,1,59212341539056,1106.0,1341.0,376.0,580.0,1.0
214-1,0,59212374866432,1049.0,1371.0,693.0,882.0,1.0
214-1,1,59212374866432,1068.0,1326.0,382.0,592.0,1.0
214-1,0,59212408193822,1022.0,1359.0,676.0,873.0,1.0
214-1,1,59212408193822,1041.0,1316.0,387.0,601.0,1.0
214-1,0,59212441511975,1003.0,1352.0,661.0,864.0,1.0
214-1,1,59212441511975,1021.0,1310.0,390.0,607.0,1.0
214-1,0,59212476539757,990.0,1348.0,647.0,855.0,1.0
214-1,1,59212476539757,1006.0,1307.0,391.0,611.0,1.0
214-1,0,59212508275481,981.0,1344.0,635.0,847.0,1.0
214-1,1,59212508275481,994.0,1303.0,391.0,613.0,1.0
214-1,0,59212541608710,975.0,1339.0,626.0,839.0,1.0
214-1,1,59212541608710,984.0,1299.0,390.0,613.0,1.0
214-1,0,59212574922200,969.0,1334.0,618.0,833.0,1.0
214-1,1,59212574922200,975.0,1294.0,389.0,613.0,1.0
214-1,0,59212608263154,964.0,1328.0,613.0,831.0,1.0
214-1,1,59212608263154,967.0,1289.0,389.0,614.0,0.9999409262759924
214-1,0,59212641586813,960.0,1322.0,611.0,831.0,1.0
214-1,1,59212641586813,961.0,1283.0,390.0,616.0,0.9995844217525528
214-1,0,59212674927834,955.0,1315.0,612.0,833.0,1.0
214-1,1,59212674927834,954.0,1275.0,393.0,619.0,0.9991322301684671
214-1,0,59212708237785,952.0,1310.0,617.0,838.0,1.0
214-1,1,59212708237785,948.0,1269.0,397.0,624.0,0.9989127808649432
214-1,0,59212741565161,950.0,1306.0,624.0,846.0,1.0
214-1,1,59212741565161,943.0,1262.0,402.0,629.0,0.9992070269610833
214-1,0,59212774892562,947.0,1302.0,636.0,858.0,1.0
214-1,1,59212774892562,937.0,1254.0,411.0,638.0,0.9997534440780349
214-1,0,59212808219975,943.0,1298.0,655.0,878.0,1.0
214-1,1,59212808219975,929.0,1244.0,425.0,653.0,1.0
214-1,0,59212841547379,939.0,1293.0,678.0,902.0,1.0
214-1,1,59212841547379,921.0,1234.0,444.0,670.0,1.0
214-1,0,59212874878489,938.0,1292.0,704.0,929.0,1.0
214-1,1,59212874878489,916.0,1227.0,464.0,690.0,1.0
214-1,0,59212908206847,939.0,1292.0,726.0,952.0,1.0
214-1,1,59212908206847,914.0,1224.0,482.0,707.0,1.0
214-1,0,59212941537593,944.0,1296.0,748.0,973.0,1.0
214-1,1,59212941537593,915.0,1225.0,498.0,723.0,1.0
214-1,0,59212974866828,951.0,1301.0,766.0,991.0,1.0
214-1,1,59212974866828,919.0,1228.0,512.0,736.0,1.0
214-1,0,59213008187714,956.0,1303.0,780.0,1004.0,1.0
214-1,1,59213008187714,924.0,1231.0,524.0,746.0,1.0
214-1,0,59213041529766,961.0,1304.0,791.0,1011.0,1.0
214-1,1,59213041529766,930.0,1234.0,532.0,752.0,1.0
214-1,0,59213074879447,966.0,1304.0,797.0,1012.0,1.0
214-1,1,59213074879447,940.0,1239.0,537.0,755.0,1.0
214-1,0,59213108210489,973.0,1306.0,800.0,1003.0,1.0
214-1,1,59213108210489,955.0,1245.0,535.0,752.0,1.0
214-1,0,59213141563704,985.0,1309.0,801.0,996.0,1.0
214-1,1,59213141563704,974.0,1253.0,531.0,747.0,1.0
214-1,0,59213174871045,1004.0,1313.0,802.0,996.0,1.0
214-1,1,59213174871045,998.0,1261.0,526.0,740.0,1.0
214-1,0,59213208347549,1033.0,1317.0,804.0,996.0,1.0
214-1,1,59213208347549,1031.0,1267.0,519.0,730.0,1.0
214-1,0,59213241525707,1058.0,1320.0,807.0,999.0,1.0
214-1,1,59213241525707,1074.0,1269.0,511.0,718.0,1.0
214-1,0,59213274878551,1088.0,1324.0,809.0,1003.0,1.0
214-1,1,59213274878551,1094.0,1269.0,505.0,705.0,1.0
214-1,0,59213308206935,1114.0,1329.0,809.0,1005.0,1.0
214-1,1,59213308206935,1103.0,1268.0,497.0,692.0,1.0
214-1,0,59213341538106,1128.0,1339.0,808.0,1004.0,1.0
214-1,1,59213341538106,1110.0,1264.0,490.0,678.0,1.0
214-1,0,59213374866053,1138.0,1351.0,808.0,1003.0,1.0
214-1,1,59213374866053,1115.0,1263.0,485.0,664.0,1.0
214-1,0,59213408194102,1148.0,1364.0,809.0,1002.0,1.0
214-1,1,59213408194102,1119.0,1263.0,480.0,649.0,1.0
214-1,0,59213441523327,1161.0,1375.0,811.0,1001.0,0.9978370895877493
214-1,1,59213441523327,1122.0,1257.0,479.0,636.0,1.0
214-1,0,59213476549231,1176.0,1387.0,814.0,1002.0,0.9618240126521109
214-1,1,59213476549231,1123.0,1247.0,479.0,623.0,1.0
214-1,0,59213508276526,1193.0,1399.0,818.0,1003.0,0.9069809365000676
214-1,1,59213508276526,1123.0,1245.0,481.0,616.0,1.0
214-1,0,59213541602000,1213.0,1412.0,823.0,1004.0,0.8386398908902789
214-1,1,59213541602000,1117.0,1243.0,484.0,609.0,1.0
214-1,0,59213574937100,1237.0,1425.0,829.0,1006.0,0.7386101932512267
214-1,1,59213574937100,1111.0,1237.0,484.0,601.0,1.0
214-1,0,59213608260038,1263.0,1440.0,836.0,1009.0,0.6030698223581816
214-1,1,59213608260038,1107.0,1232.0,486.0,594.0,1.0
214-1,0,59213641590487,1288.0,1459.0,841.0,1014.0,0.42990863740821705
214-1,1,59213641590487,1104.0,1229.0,482.0,588.0,1.0
214-1,0,59213674935358,1315.0,1498.0,847.0,1030.0,0.23073679772320016
214-1,1,59213674935358,1103.0,1227.0,487.0,584.0,1.0
214-1,0,59213708208554,1336.0,1578.0,852.0,1056.0,0.10003826367926534
214-1,1,59213708208554,1100.0,1227.0,492.0,584.0,1.0
214-1,0,59213741573225,1355.0,1699.0,854.0,1097.0,0.030363394905227572
214-1,1,59213741573225,1097.0,1222.0,494.0,585.0,1.0
214-1,0,59213774900671,1371.0,1879.0,853.0,1157.0,0.006079918673756648
214-1,1,59213774900671,1095.0,1219.0,497.0,586.0,1.0
214-1,0,59213808231842,1383.0,2077.0,850.0,1222.0,0.00015936466619742627
214-1,1,59213808231842,1091.0,1214.0,501.0,589.0,1.0
214-1,0,59213841559287,1393.0,2314.0,847.0,1299.0,0.0
214-1,1,59213841559287,1089.0,1211.0,507.0,592.0,1.0
214-1,0,59213874881405,1398.0,2493.0,844.0,1357.0,0.0
214-1,1,59213874881405,1084.0,1206.0,513.0,595.0,1.0
214-1,0,59213908216088,1405.0,2757.0,839.0,1439.0,0.0
214-1,1,59213908216088,1085.0,1207.0,517.0,596.0,1.0
214-1,0,59213941537180,,,,,0.0
214-1,1,59213941537180,1089.0,1209.0,518.0,596.0,1.0
214-1,0,59213974866696,,,,,0.0
214-1,1,59213974866696,1093.0,1212.0,517.0,596.0,1.0
214-1,0,59214008198832,,,,,0.0
214-1,1,59214008198832,1099.0,1216.0,518.0,596.0,1.0
214-1,0,59214041522369,,,,,0.0
214-1,1,59214041522369,1106.0,1221.0,517.0,595.0,1.0
214-1,0,59214074846976,,,,,0.0
214-1,1,59214074846976,1112.0,1226.0,516.0,594.0,1.0
214-1,0,59214108212685,,,,,0.0
214-1,1,59214108212685,1119.0,1230.0,514.0,591.0,1.0
214-1,0,59214141544994,,,,,0.0
214-1,1,59214141544994,1125.0,1234.0,512.0,589.0,1.0
214-1,0,59214174869215,,,,,0.0
214-1,1,59214174869215,1126.0,1234.0,509.0,588.0,1.0
214-1,0,59214208198995,,,,,0.0
214-1,1,59214208198995,1128.0,1236.0,508.0,588.0,1.0
214-1,0,59214241526275,,,,,0.0
214-1,1,59214241526275,1129.0,1238.0,508.0,589.0,1.0
214-1,0,59214274852309,,,,,0.0
214-1,1,59214274852309,1130.0,1239.0,506.0,589.0,1.0
214-1,0,59214308229291,,,,,0.0
214-1,1,59214308229291,1129.0,1239.0,502.0,586.0,1.0
214-1,0,59214341556706,,,,,0.0
214-1,1,59214341556706,1127.0,1238.0,496.0,582.0,1.0
214-1,0,59214374884284,,,,,0.0
214-1,1,59214374884284,1129.0,1241.0,490.0,578.0,1.0
214-1,0,59214408211699,,,,,0.0
214-1,1,59214408211699,1130.0,1241.0,485.0,573.0,1.0
214-1,0,59214442373228,1404.0,2297.0,785.0,1217.0,0.0
214-1,1,59214442373228,1130.0,1240.0,480.0,569.0,1.0
214-1,0,59214475700642,1400.0,2159.0,780.0,1166.0,0.00017144000076195557
214-1,1,59214475700642,1130.0,1239.0,475.0,565.0,0.9988871224165342
214-1,0,59214508279556,1394.0,2030.0,775.0,1119.0,0.0018100857980668285
214-1,1,59214508279556,1126.0,1242.0,470.0,561.0,0.994052157999085
214-1,0,59214541609920,1391.0,1956.0,772.0,1090.0,0.004397426171007896
214-1,1,59214541609920,1122.0,1248.0,464.0,557.0,0.9866366577577719
214-1,0,59214574933130,1385.0,1870.0,769.0,1060.0,0.010379427663506208
214-1,1,59214574933130,1117.0,1251.0,459.0,555.0,0.9828462515883101
214-1,0,59214608264723,1373.0,1760.0,767.0,1025.0,0.02715691685062546
214-1,1,59214608264723,1106.0,1247.0,453.0,552.0,0.9808895461267205
214-1,0,59214641586609,1356.0,1665.0,765.0,995.0,0.06409431939978565
214-1,1,59214641586609,1093.0,1242.0,445.0,548.0,0.9807926829268293
214-1,0,59214674929712,1335.0,1582.0,761.0,967.0,0.15480803803283927
214-1,1,59214674929712,1077.0,1234.0,432.0,543.0,0.9835930339138406
214-1,0,59214708263726,1309.0,1522.0,758.0,950.0,0.30013528012315155
214-1,1,59214708263726,1060.0,1226.0,418.0,539.0,0.9855216348142632
214-1,0,59214741589249,1281.0,1491.0,756.0,941.0,0.46297100400443864
214-1,1,59214741589249,1043.0,1216.0,406.0,535.0,0.9879329608938547
214-1,0,59214774912037,1251.0,1471.0,753.0,937.0,0.6099575381456768
214-1,1,59214774912037,1027.0,1207.0,392.0,532.0,0.9906775653583733
214-1,0,59214808229650,1223.0,1457.0,750.0,936.0,0.7179776744994136
214-1,1,59214808229650,1012.0,1199.0,378.0,529.0,0.9933542551227617
214-1,0,59214841557089,1194.0,1446.0,748.0,935.0,0.7968210644617485
214-1,1,59214841557089,999.0,1192.0,365.0,526.0,0.9951437122367158
214-1,0,59214874883914,1164.0,1434.0,746.0,933.0,0.8610324791418356
214-1,1,59214874883914,987.0,1185.0,353.0,523.0,0.9963316214233309
214-1,0,59214908216542,1134.0,1422.0,746.0,932.0,0.9122078828043252
214-1,1,59214908216542,974.0,1176.0,342.0,521.0,0.9970601205350581
214-1,0,59214941540377,1103.0,1407.0,747.0,931.0,0.9601367498672332
214-1,1,59214941540377,961.0,1169.0,332.0,518.0,0.9973624543056777
214-1,0,59214974872225,1072.0,1388.0,747.0,930.0,0.9975915994990527
214-1,1,59214974872225,948.0,1159.0,322.0,516.0,0.9974321512374374
214-1,0,59215008199410,1043.0,1369.0,749.0,930.0,1.0
214-1,1,59215008199410,937.0,1151.0,313.0,515.0,0.9978640693750267
214-1,0,59215041531500,1021.0,1349.0,754.0,933.0,1.0
214-1,1,59215041531500,930.0,1149.0,304.0,515.0,0.9981744253588913
214-1,0,59215074855308,1003.0,1329.0,759.0,936.0,1.0
214-1,1,59215074855308,927.0,1146.0,294.0,514.0,0.998501478271435
214-1,0,59215108215161,987.0,1310.0,764.0,941.0,1.0
214-1,1,59215108215161,925.0,1144.0,286.0,514.0,0.9987328740001584
214-1,0,59215141540238,970.0,1285.0,767.0,944.0,1.0
214-1,1,59215141540238,921.0,1140.0,278.0,515.0,0.9987903855158421
214-1,0,59215174868825,955.0,1262.0,767.0,946.0,1.0
214-1,1,59215174868825,918.0,1135.0,271.0,514.0,0.9987958359229335
214-1,0,59215208198348,945.0,1243.0,755.0,947.0,1.0
214-1,1,59215208198348,915.0,1129.0,266.0,513.0,0.9988311384711291
214-1,0,59215241525147,941.0,1228.0,745.0,947.0,1.0
214-1,1,59215241525147,911.0,1125.0,262.0,513.0,0.9989377188495888
214-1,0,59215274858197,944.0,1217.0,738.0,947.0,1.0
214-1,1,59215274858197,908.0,1118.0,260.0,514.0,0.9986840531164015
214-1,0,59215308219191,953.0,1214.0,732.0,949.0,1.0
214-1,1,59215308219191,908.0,1115.0,263.0,517.0,0.9981780638892263
214-1,0,59215341541459,959.0,1215.0,723.0,954.0,0.9997058823529412
214-1,1,59215341541459,908.0,1111.0,269.0,522.0,0.9972659486329744
214-1,0,59215374873427,963.0,1223.0,717.0,959.0,0.997338292131554
214-1,1,59215374873427,908.0,1106.0,277.0,531.0,0.9958949799025058
214-1,0,59215408200770,969.0,1231.0,714.0,964.0,0.9951388640669121
214-1,1,59215408200770,910.0,1103.0,285.0,540.0,0.9946253138904798
214-1,0,59215441529275,977.0,1239.0,708.0,966.0,0.994536652835408
214-1,1,59215441529275,915.0,1102.0,293.0,549.0,0.9932773867532936
214-1,0,59215475704462,986.0,1249.0,698.0,965.0,0.9977437871196788
214-1,1,59215475704462,922.0,1104.0,299.0,556.0,0.9923417604724118
214-1,0,59215508282125,993.0,1256.0,685.0,960.0,0.999235668789809
214-1,1,59215508282125,925.0,1105.0,306.0,561.0,0.9916431924882629
214-1,0,59215541616930,1000.0,1260.0,672.0,953.0,0.9990482623111875
214-1,1,59215541616930,928.0,1105.0,311.0,566.0,0.9912105663245914
214-1,0,59215574939561,1003.0,1262.0,662.0,945.0,0.9986443741527339
214-1,1,59215574939561,929.0,1105.0,315.0,570.0,0.9904656956688387
214-1,0,59215608267061,1001.0,1262.0,654.0,938.0,0.9990133644273029
214-1,1,59215608267061,928.0,1104.0,321.0,575.0,0.9888625248172002
214-1,0,59215641598193,996.0,1261.0,650.0,931.0,0.999196667658435
214-1,1,59215641598193,927.0,1102.0,326.0,579.0,0.986032150558714
214-1,0,59215674925811,992.0,1259.0,648.0,926.0,0.9993460555258308
214-1,1,59215674925811,928.0,1102.0,328.0,582.0,0.9859543640037455
214-1,0,59215708260496,989.0,1257.0,647.0,920.0,0.99954998199928
214-1,1,59215708260496,927.0,1106.0,330.0,580.0,0.9994131742383491
214-1,0,59215741602589,989.0,1255.0,645.0,912.0,1.0
214-1,1,59215741602589,927.0,1112.0,326.0,572.0,1.0
214-1,0,59215774907770,991.0,1254.0,640.0,900.0,1.0
214-1,1,59215774907770,928.0,1119.0,317.0,563.0,1.0
214-1,0,59215808235289,995.0,1255.0,632.0,887.0,1.0
214-1,1,59215808235289,929.0,1129.0,307.0,550.0,1.0
214-1,0,59215841562345,999.0,1261.0,621.0,869.0,1.0
214-1,1,59215841562345,932.0,1141.0,294.0,540.0,1.0
214-1,0,59215874888476,1004.0,1269.0,609.0,851.0,1.0
214-1,1,59215874888476,936.0,1151.0,281.0,532.0,1.0
214-1,0,59215908214576,1010.0,1279.0,597.0,831.0,1.0
214-1,1,59215908214576,940.0,1161.0,268.0,527.0,1.0
214-1,0,59215941546606,1016.0,1291.0,587.0,811.0,1.0
214-1,1,59215941546606,944.0,1170.0,258.0,524.0,1.0
214-1,0,59215974877737,1024.0,1303.0,581.0,794.0,1.0
214-1,1,59215974877737,949.0,1180.0,250.0,524.0,1.0
214-1,0,59216008207505,1035.0,1314.0,576.0,781.0,1.0
214-1,1,59216008207505,958.0,1191.0,246.0,527.0,1.0
214-1,0,59216041531011,1046.0,1325.0,573.0,770.0,1.0
214-1,1,59216041531011,970.0,1205.0,245.0,533.0,1.0
214-1,0,59216074855854,1056.0,1333.0,571.0,761.0,0.9994937990382182
214-1,1,59216074855854,983.0,1220.0,249.0,540.0,1.0
214-1,0,59216108184479,1064.0,1339.0,568.0,752.0,0.9992028696691909
214-1,1,59216108184479,995.0,1234.0,256.0,548.0,1.0
214-1,0,59216141545391,1069.0,1343.0,563.0,743.0,0.9992063025457111
214-1,1,59216141545391,1005.0,1245.0,266.0,554.0,1.0
214-1,0,59216174872346,1071.0,1345.0,558.0,735.0,0.9991834265840012
214-1,1,59216174872346,1013.0,1253.0,278.0,562.0,1.0
214-1,0,59216208199312,1073.0,1345.0,555.0,733.0,0.9985473034319956
214-1,1,59216208199312,1018.0,1260.0,287.0,563.0,1.0
214-1,0,59216241526522,1073.0,1344.0,554.0,731.0,0.9989122552574329
214-1,1,59216241526522,1020.0,1266.0,293.0,562.0,1.0
214-1,0,59216274858176,1073.0,1343.0,553.0,731.0,0.9990356798457087
214-1,1,59216274858176,1023.0,1272.0,295.0,559.0,1.0
214-1,0,59216308186130,1073.0,1341.0,546.0,730.0,0.9987041557423982
214-1,1,59216308186130,1025.0,1277.0,296.0,557.0,1.0
214-1,0,59216341543747,1072.0,1339.0,539.0,729.0,0.9972523324979619
214-1,1,59216341543747,1027.0,1280.0,295.0,554.0,1.0
214-1,0,59216374874890,1073.0,1338.0,531.0,730.0,0.9940798018545927
214-1,1,59216374874890,1030.0,1283.0,293.0,552.0,1.0
214-1,0,59216408210210,1075.0,1336.0,521.0,731.0,0.9906344410876133
214-1,1,59216408210210,1034.0,1285.0,289.0,548.0,0.999390912413205
214-1,0,59216442386644,1078.0,1336.0,510.0,732.0,0.9922902223284724
214-1,1,59216442386644,1037.0,1287.0,282.0,541.0,0.9975507673228957
214-1,0,59216475714087,1080.0,1336.0,501.0,733.0,0.9998227892964735
214-1,1,59216475714087,1037.0,1286.0,273.0,529.0,0.9937615379718633
214-1,0,59216508289316,1081.0,1333.0,502.0,736.0,1.0
214-1,1,59216508289316,1032.0,1280.0,265.0,516.0,0.9972932827199208
214-1,0,59216541607710,1022.0,1271.0,257.0,500.0,1.0
214-1,0,59216574938803,1010.0,1257.0,250.0,485.0,1.0
214-1,0,59216608266117,998.0,1243.0,245.0,474.0,1.0
214-1,0,59216641593824,988.0,1231.0,242.0,466.0,1.0
214-1,0,59216674921340,982.0,1224.0,242.0,463.0,1.0
214-1,0,59216708256133,979.0,1219.0,242.0,463.0,1.0
214-1,0,59216741587278,976.0,1216.0,246.0,465.0,1.0
214-1,0,59216774922192,974.0,1213.0,252.0,464.0,1.0
214-1,0,59216808243135,971.0,1209.0,257.0,463.0,1.0
214-1,0,59216841570579,969.0,1204.0,262.0,462.0,1.0
214-1,0,59216874898010,971.0,1201.0,266.0,465.0,1.0
214-1,0,59216908225453,978.0,1203.0,271.0,475.0,1.0
214-1,0,59216941556563,987.0,1272.0,687.0,900.0,0.996998298004023
214-1,1,59216941556563,987.0,1207.0,279.0,490.0,1.0
214-1,0,59216974883683,985.0,1272.0,691.0,902.0,0.992885617908617
214-1,1,59216974883683,994.0,1210.0,286.0,511.0,1.0
214-1,0,59217008210525,984.0,1273.0,695.0,904.0,0.9907396235521235
214-1,1,59217008210525,1003.0,1219.0,301.0,535.0,1.0
214-1,0,59217041538258,985.0,1277.0,702.0,907.0,0.9887157442235357
214-1,1,59217041538258,1014.0,1230.0,319.0,565.0,0.9660880669725205
214-1,0,59217074866004,987.0,1281.0,712.0,912.0,0.9860448473282443
214-1,1,59217074866004,1021.0,1243.0,334.0,594.0,0.920564650851988
214-1,0,59217108193620,990.0,1288.0,723.0,918.0,0.9797794669951627
214-1,1,59217108193620,1022.0,1257.0,347.0,618.0,0.9058931860036833
214-1,0,59217141524818,992.0,1289.0,727.0,923.0,0.9740184757505773
214-1,1,59217141524818,1020.0,1266.0,356.0,632.0,0.9137994696384815
214-1,0,59217174882087,992.0,1286.0,730.0,925.0,0.9691007732601646
214-1,1,59217174882087,1017.0,1270.0,359.0,633.0,0.9301821888138616
214-1,0,59217208213300,993.0,1284.0,733.0,927.0,0.9648148745924658
214-1,1,59217208213300,1014.0,1269.0,359.0,626.0,0.9444130038357542
214-1,0,59217241551937,992.0,1279.0,735.0,926.0,0.9650811753656245
214-1,1,59217241551937,1013.0,1264.0,359.0,621.0,0.9587520671670271
214-1,0,59217274868217,993.0,1276.0,736.0,925.0,0.9673981410301209
214-1,1,59217274868217,1012.0,1259.0,358.0,616.0,0.963548672856721
214-1,0,59217308187845,995.0,1272.0,737.0,923.0,0.9698387745402698
214-1,1,59217308187845,1009.0,1251.0,359.0,611.0,0.9649332877180978
214-1,0,59217341516369,998.0,1270.0,738.0,922.0,0.9733061130156774
214-1,1,59217341516369,1004.0,1244.0,362.0,609.0,0.9626410274604413
214-1,0,59217374876058,1001.0,1267.0,741.0,920.0,0.9768746189798821
214-1,1,59217374876058,998.0,1235.0,366.0,610.0,0.9580688946769874
214-1,0,59217408203516,1004.0,1263.0,743.0,920.0,0.9790859798605732
214-1,1,59217408203516,993.0,1227.0,371.0,612.0,0.9585271022337425
214-1,0,59217441530975,1007.0,1256.0,746.0,921.0,0.9800357978796641
214-1,1,59217441530975,985.0,1216.0,377.0,613.0,0.9620518085610488
214-1,0,59217474862133,1008.0,1246.0,748.0,920.0,0.9796118889707689
214-1,1,59217474862133,974.0,1202.0,380.0,614.0,0.9737824675324676
214-1,0,59217508267792,1007.0,1245.0,748.0,919.0,0.9809126466753585
214-1,1,59217508267792,963.0,1187.0,382.0,615.0,0.9855229220401032
214-1,0,59217541595250,1008.0,1239.0,746.0,916.0,0.983783201336135
214-1,1,59217541595250,951.0,1174.0,384.0,615.0,0.9900296987696224
214-1,0,59217574926409,1007.0,1233.0,742.0,913.0,0.98751847594022
214-1,1,59217574926409,936.0,1160.0,384.0,616.0,0.9908855822629191
214-1,0,59217608253848,1007.0,1230.0,737.0,909.0,0.989001319841619
214-1,1,59217608253848,921.0,1149.0,383.0,618.0,0.9914876033057851
214-1,0,59217641596906,1009.0,1230.0,732.0,905.0,0.9890540761313511
214-1,1,59217641596906,907.0,1142.0,379.0,619.0,0.9915298047480813
214-1,0,59217674921865,1011.0,1231.0,726.0,901.0,0.989512547487827
214-1,1,59217674921865,898.0,1137.0,372.0,619.0,0.9887653374233129
214-1,0,59217708244413,1013.0,1233.0,721.0,897.0,0.9884499762670745
214-1,1,59217708244413,891.0,1134.0,366.0,618.0,0.9859834043507513
214-1,0,59217741566512,1013.0,1233.0,716.0,891.0,0.9861220214715894
214-1,1,59217741566512,886.0,1131.0,364.0,617.0,0.9843213929981186
214-1,0,59217774893947,1012.0,1231.0,711.0,889.0,0.9840450492726419
214-1,1,59217774893947,882.0,1128.0,358.0,615.0,0.9831367183166303
214-1,0,59217808221383,1009.0,1228.0,708.0,885.0,0.9842589687271206
214-1,1,59217808221383,878.0,1125.0,360.0,613.0,0.9810112274885088
214-1,0,59217841548799,1005.0,1223.0,707.0,884.0,0.9840008476372113
214-1,1,59217841548799,875.0,1122.0,360.0,610.0,0.9790645186395829
214-1,0,59217874876325,1000.0,1217.0,707.0,882.0,0.9831484871325509
214-1,1,59217874876325,873.0,1121.0,364.0,607.0,0.9771023302938197
214-1,0,59217908203737,996.0,1214.0,710.0,883.0,0.9829822161422709
214-1,1,59217908203737,876.0,1121.0,371.0,608.0,0.9752006454626524
214-1,0,59217941534875,992.0,1210.0,716.0,886.0,0.9829088285888685
214-1,1,59217941534875,881.0,1116.0,378.0,609.0,0.9728851291184327
214-1,0,59217974862298,988.0,1212.0,724.0,891.0,0.9824531803610596
214-1,1,59217974862298,888.0,1118.0,387.0,612.0,0.9702030124426981
214-1,0,59218008189754,987.0,1205.0,733.0,897.0,0.9823522714334509
214-1,1,59218008189754,899.0,1123.0,393.0,614.0,0.9626090771705748
214-1,0,59218041517144,987.0,1208.0,742.0,903.0,0.9829447570919949
214-1,1,59218041517144,909.0,1131.0,397.0,615.0,0.9605110921072488
214-1,0,59218074878026,987.0,1211.0,749.0,911.0,0.9835656213704994
214-1,1,59218074878026,918.0,1135.0,400.0,616.0,0.9669946699466995
214-1,0,59218108205561,985.0,1211.0,756.0,916.0,0.9839934090507856
214-1,1,59218108205561,926.0,1138.0,402.0,615.0,0.9730639730639731
214-1,0,59218141532944,980.0,1207.0,763.0,919.0,0.984691446271146
214-1,1,59218141532944,935.0,1147.0,401.0,614.0,0.9786145978614598
214-1,0,59218174860352,972.0,1204.0,769.0,924.0,0.9846598086987909
214-1,1,59218174860352,944.0,1153.0,402.0,613.0,0.980906558622436
214-1,0,59218208201110,962.0,1194.0,774.0,929.0,0.9848927875243665
214-1,1,59218208201110,946.0,1160.0,399.0,615.0,0.9785462382445141
